
0.61,0.04,0.04,0.12,0.85,8
0.79,1.1,1.12,1.12,1.0,9
0.8,0.03,0.02,0.05,0.03,10
0.46,0.69,0.69,0.81,0.61,11
0.72,0.78,0.77,0.13,0.09,12
0.6,0.05,0.09,1.02,0.77,13
0.28,0.03,0.26,0.78,0.81,14
-0.01,0.13,0.01,0.23,0.59,15
0.16,1.03,1.02,1.02,0.91,16
0.82,0.92,0.11,0.1,0.07,17
-0.04,-0.08,0.01,0.67,0.65,18
0.24,0.48,0.43,0.43,0.26,0
0.32,0.06,0.44,0.36,0.11,1
0.76,0.08,1.11,1.0,0.94,2
0.0,-0.0,0.98,1.06,0.83,3
0.82,0.7,0.8,0.68,0.14,4
0.63,0.73,0.09,0.07,0.05,5
0.23,0.02,0.93,0.91,0.18,6
0.0,-0.04,-0.03,0.01,0.01,7
0.6,0.05,0.05,0.1,0.79,8
0.75,1.09,1.12,1.12,1.0,9
0.76,0.05,-0.0,0.01,0.01,10
0.54,0.74,0.7,0.7,0.41,11
0.86,0.88,0.75,0.09,0.08,12
0.62,0.04,0.09,0.94,0.71,13
0.22,0.06,0.28,0.85,0.87,14
-0.02,0.04,-0.01,0.7,0.6,15
0.09,1.01,0.99,0.98,0.89,16
0.74,0.88,0.1,0.03,0.07,17
0.05,-0.01,0.05,0.75,0.66,18
0.43,0.57,0.52,0.53,0.3,0
0.31,0.06,0.45,0.27,0.11,1
0.74,0.11,1.13,0.99,0.94,2
0.14,0.06,1.07,1.1,0.91,3
0.86,0.72,0.8,0.65,0.18,4
0.63,0.7,0.06,0.02,0.06,5
0.14,0.04,0.9,0.82,0.16,6
0.04,0.0,0.0,0.01,0.03,7
0.6,0.05,0.02,0.08,0.82,8
0.78,1.16,1.11,1.11,1.01,9
0.74,0.03,-0.0,0.03,0.03,10
0.34,0.77,0.68,0.69,0.4,11
0.73,0.7,0.75,0.07,0.07,12
0.52,0.04,0.1,0.95,0.73,13
0.38,0.04,0.26,0.81,0.76,14
-0.0,0.05,-0.01,0.26,0.6,15
0.15,1.17,1.07,1.1,0.92,16
0.66,0.85,0.08,0.04,0.05,17
0.03,-0.04,0.04,0.67,0.66,18
0.33,0.57,0.48,0.45,0.29,0
0.34,0.06,0.55,0.37,0.1,1
